Division,Count,Longitude,Lattitude
RURAL,982,149.04,-35.2
KAMBAH,97,149.0569492,-35.3603965
HUME,85,149.2192723,-35.3570088
SYMONSTON,75,149.1640992,-35.3320323
O'MALLEY,60,149.0972818,-35.3690537
RED HILL,60,149.1168574,-35.328633
CONDER,59,149.0575374,-35.341376
CALWELL,53,149.0947642,-35.4172052
CAMPBELL,51,149.1426059,-35.2660747
GORDON,47,149.1227514,-35.2831108
GREENWAY,45,149.125863,-35.2684263
AINSLIE,43,149.1321326,-35.2804819
GUNGAHLIN,41,149.0952873,-35.1629617
WANNIASSA,41,149.0948792,-35.3999533
DEAKIN,40,149.1320694,-35.317637
GARRAN,40,149.10853,-35.3425898
THEODORE,37,149.1218496,-35.4479187
WATSON,34,149.1547982,-35.2297249
WESTON,31,149.0560551,-35.341194
CHIFLEY,30,149.0829531,-35.325455
CURTIN,30,149.1425478,-35.1711927
FORDE,27,149.0945859,-35.2406326
BRUCE,26,149.1185024,-35.409498
FADDEN,25,149.1307983,-35.4126053
GILMORE,25,149.1103523,-35.366543
ISAACS,25,149.0614579,-35.2119363
KALEEN,25,149.1272088,-35.2397975
LYNEHAM,25,149.0948716,-35.1850136
NICHOLLS,24,149.1047672,-35.3025873
YARRALUMLA,23,149.0789112,-35.3529884
PIALLIGO,22,149.1640992,-35.3320323
RICHARDSON,21,149.1631359,-35.2495028
FYSHWICK,20,149.0767212,-35.3405552
HACKETT,20,149.1250763,-35.2849278
ACTON,19,149.0950027,-35.45404
LYONS,19,149.1766959,-35.3334566
ISABELLA PLAINS,18,149.1340038,-35.2740866
MACARTHUR,18,149.1202871,-35.25974
TORRENS,18,149.087399,-35.4293968
HUGHES,17,149.1089929,-35.1784006
BONNER,16,149.1439338,-35.1590455
BONYTHON,16,149.1018451,-35.375653
COOMBS,16,149.0865782,-35.3569765
DUFFY,16,149.0540184,-35.2440149
FARRER,16,149.082,-35.431
PEARCE,14,149.0557997,-35.3405042
BELCONNEN,13,149.1345596,-35.2502148
DENMAN PROSPECT,13,149.044819,-35.318908
DICKSON,13,149.069,-35.17
HALL,11,149.035,-35.337
O'CONNOR,11,149.1213469,-35.2638983
PARKES,11,149.1297019,-35.3137572
MAWSON,10,149.0886908,-35.1707602
PHILLIP,10,149.10454,-35.3623731
WRIGHT,10,149.1401211,-35.2060881
BANKS,9,149.1380029,-35.318668
GRIFFITH,9,149.0858356,-35.3433359
LAWSON,9,149.1055005,-35.4689975
GOWRIE,8,149.1179216,-35.4088298
JACKA,8,149.1282806,-35.1659906
MOLONGLO,8,149.1293488,-35.1602173
MONCRIEFF,8,149.1390226,-35.3436662
NARRABUNDAH,8,149.1354721,-35.2559665
AMAROO,7,149.0791794,-35.2566905
ARANDA,7,149.0436325,-35.3515587
BARTON,6,149.0679097,-35.2562549
COOK,6,149.1343826,-35.2797036
HOLT,6,149.0160739,-35.2316215
MONASH,6,149.0847239,-35.4190873
REID,6,149.1383046,-35.2787087
RUSSELL,6,149.0615206,-35.2111577
CASEY,5,149.1432381,-35.2474748
DOWNER,5,149.1343826,-35.2797036
EVATT,5,149.129508,-35.3138663
FORREST,5,149.0945433,-35.1633018
FRANKLIN,5,149.1448718,-35.2022087
GIRALANG,5,149.0767834,-35.2173448
KINGSTON,5,149.0935122,-35.2164661
MCKELLAR,5,149.1253958,-35.3077214
CAPITAL HILL,4,149.1404271,-35.3160676
CHAPMAN,4,149.1399014,-35.2756098
CITY,4,149.1082611,-35.202446
CRACE,4,149.0443337,-35.3365174
FISHER,4,149.0443973,-35.193456
FRASER,4,140.7886834,-37.8157709
HOLDER,4,149.0572976,-35.3621911
MACGREGOR,4,149.0030447,-35.2100233
RIVETT,4,149.0470701,-35.3432397
BRADDON,3,149.1343177,-35.2684435
CANBERRA AIRPORT,3,149.1933934,-35.3052327
CHISHOLM,3,149.1166369,-35.4272492
DUNLOP,3,149.1398283,-35.2111777
HARRISON,3,149.1050729,-35.1709303
LATHAM,3,149.1583557,-35.209198
MITCHELL,3,149.0255518,-35.1881789
TAYLOR,3,149.0590632,-35.3527338
WARAMANGA,3,149.0312661,-35.2191158
CHARNWOOD,2,149.0335997,-35.2056436
HAWKER,2,149.0495037,-35.2164914
HIGGINS,2,149.0447183,-35.2429777
MACQUARIE,2,149.0638719,-35.2530379
MELBA,2,149.0271405,-35.2312317
PAGE,2,149.1065762,-35.1719166
PALMERSTON,2,149.0548527,-35.1904066
STRATHNAIRN,2,149.1454402,-35.3255808
THROSBY,2,149.0504751,-35.2431395
BEARD,1,149.1141796,-35.1939387
NGUNNAWAL,1,149.2284476,-35.3391382
OXLEY,1,149.0800654,-35.4065829
SPENCE,1,149.0601235,-35.1932638
STIRLING,1,149.0425149,-35.3508917
THARWA,1,149.091038,-35.473211
TURNER,1,149.120475,-35.2721713
URIARRA VILLAGE,1,148.921199,-35.2792658
